Date,Open,High,Low,Close,Volume
2024-07-16,195.59,196.62,192.24,193.02,33994714
2024-07-17,191.35,191.58,185.99,187.93,48076139
2024-07-18,189.59,189.68,181.448,183.75,51043626
2024-07-19,181.14,184.93,180.11,183.13,43081829
2024-07-22,185,185.06,182.48,182.55,39931923
2024-07-23,184.1,189.39,183.56,186.41,47537670
2024-07-24,183.2,185.45,180.41,180.83,41532360
2024-07-25,182.91,183.8958,176.8,179.85,44464163
2024-07-26,180.39,183.19,180.24,182.5,29505964
2024-07-29,183.84,184.75,182.38,183.2,33270123
2024-07-30,184.72,185.86,179.38,181.71,39508574
2024-07-31,185.05,187.94,184.46,186.98,41667326
2024-08-01,189.285,190.6,181.87,184.07,70435635
2024-08-02,166.75,168.77,160.55,167.9,141448365
2024-08-05,154.21,162.96,151.61,161.02,83149437
2024-08-06,161.71,165.08,158.5404,161.93,59950830
2024-08-07,166.55,167.58,161.43,162.77,48408240
2024-08-08,165.165,166.6899,162.55,165.8,44616206
2024-08-09,166.4,168.55,165.85,166.94,36401049
2024-08-12,168.14,168.55,166.1101,166.8,30072788
2024-08-13,167.81,171.04,167.1,170.23,39237915
2024-08-14,172.11,172.28,168.86,170.1,28843804
2024-08-15,174.86,177.91,173.99,177.59,51698513
2024-08-16,177.04,178.34,176.2601,177.06,31489175
2024-08-19,177.64,178.3,176.16,178.22,31129807
2024-08-20,177.92,179.01,177.4308,178.88,26255204
2024-08-21,179.92,182.385,178.8937,180.11,35599120
2024-08-22,181.38,181.47,175.68,176.13,32047482
2024-08-23,177.34,178.9699,175.24,177.04,29150091
2024-08-26,176.7,177.4682,174.3,175.5,22366236
2024-08-27,174.15,174.89,172.25,173.12,29841979
2024-08-28,173.69,173.69,168.92,170.8,29045025
2024-08-29,173.22,174.29,170.81,172.12,26407815
2024-08-30,172.78,178.9,172.6,178.5,43429355
2024-09-03,177.55,178.26,175.26,176.25,37817511
2024-09-04,174.48,175.98,172.54,173.33,30309225
2024-09-05,175,179.875,174.995,177.89,40170526
2024-09-06,177.24,178.38,171.16,171.39,41466537
2024-09-09,174.53,175.85,173.51,175.4,29037362
2024-09-10,177.49,180.5,176.79,179.55,36233796
2024-09-11,180.095,184.99,175.73,184.52,42564698
2024-09-12,184.8,187.41,183.54,187,33622483
2024-09-13,187,188.5,185.91,186.49,26495351
