Date,Open,High,Low,Close,Volume
2024-04-15,477.02,478.52,468.35,470.1,3353225
2024-04-16,470,478.98,468.49,476.22,2660097
2024-04-17,477.31,481.02,472.685,474.45,2034793
2024-04-18,476.76,477.605,471.825,473.18,2389742
2024-04-19,476.54,476.58,463.0901,465.03,3280433
2024-04-22,470.215,471.5,462.28,466.89,2604256
2024-04-23,469.72,474.81,467.83,472.9,2205836
2024-04-24,472.94,478.57,471.7283,477.12,2338044
2024-04-25,468.41,474.5042,465.78,473.44,2250913
2024-04-26,472.31,482.79,471.685,477.56,2460261
2024-04-29,478.04,481.677,471.07,473.07,2954736
2024-04-30,472,475.42,462.46,462.83,3222618
2024-05-01,461.12,477.76,460.36,469.39,2490171
2024-05-02,474.3,477.155,468.2994,476.57,2516422
2024-05-03,482.27,487.49,477.565,486.18,2833186
2024-05-06,490.1,495.44,488,493.59,2104030
2024-05-07,492.51,496.755,489.14,492.27,2518346
2024-05-08,489.97,495.81,486.92,488.1,2165021
2024-05-09,489.41,490.4364,481.65,482.65,2301635
2024-05-10,483.5,489.48,480.3,482.29,2741116
2024-05-13,486.24,490.1599,481.71,483.11,2458192
2024-05-14,480.41,481.8,466.48,475.95,4287846
2024-05-15,480.76,489.61,476.61,485.35,3491638
2024-05-16,484.7,486.23,481.385,482.88,2562865
2024-05-17,483.32,485.88,481.52,483.43,2261147
2024-05-20,483,485.37,478.32,484.69,1881117
2024-05-21,481.19,487.5,477.12,481.85,1915797
2024-05-22,483.97,485.665,479.14,483.93,1875835
2024-05-23,488.38,491.68,478.69,483.31,2219854
2024-05-24,481.25,485.38,473.9,475.43,3085605
2024-05-28,473.01,478.67,469.6,478.43,2575270
2024-05-29,472.78,482.79,472.595,477.6,2214810
2024-05-30,464.9,466.82,444.84,445.87,5606896
2024-05-31,447.72,448.23,433.97,444.76,7487507
2024-06-03,447.58,449.84,436.58,439.02,3967669
2024-06-04,442.82,450.12,441.59,448.37,3183594
2024-06-05,449.19,458.6,448.37,455.8,3295029
2024-06-06,457.7,467.8515,456.87,458.13,3234970
2024-06-07,458.13,468.93,458.13,465.43,2684170
2024-06-10,453.84,462.23,451.51,459.94,3212350
2024-06-11,456.91,462.74,455.5,462.69,2723659
2024-06-12,470,471.12,459.16,459.87,3647447
2024-06-13,457.87,462.3899,453.5,458.74,8557963
2024-06-14,530.25,534.45,521.88,525.31,14846614
2024-06-17,525.51,525.94,505.38,518.74,7163820
2024-06-18,514.71,530.37,513.13,522.25,4225943
2024-06-20,527.665,533.23,520.4,522.95,5752373
2024-06-21,530.31,535,524.715,533.44,6614086
2024-06-24,532.1,534.58,523.48,524.17,3067824
2024-06-25,526.2,529.68,522.24,526.88,3144202
2024-06-26,528.58,530.66,526.01,528.66,2931667
2024-06-27,533.21,549.16,532.1,546.76,4734063
2024-06-28,549.7,558.48,548.01,555.54,5084543
2024-07-01,551.37,561.21,549.73,560.01,3070159
2024-07-02,560,570.14,560,567.71,3054491
2024-07-03,564.292,571.83,564.0001,570.15,1664373
2024-07-05,570.91,580.55,568.92,578.34,2808635
2024-07-08,573.18,576.745,563.92,575.4,3007422
2024-07-09,573.05,575.01,562.46,566.02,2169020
2024-07-10,564.71,566.93,558.21,564.55,2368443
2024-07-11,564,572.62,557.09,557.63,3191358
2024-07-12,555.1,562.49,552.315,559.05,2013985
2024-07-15,560.23,568.23,560.23,565.71,1887763
2024-07-16,564.6,570.1,562.08,566.54,1539875
2024-07-17,563.93,565,556.46,563.09,2316265
