Date,Open,High,Low,Close,Volume
2024-04-08,65.53,66.7,65.33,66.34,8421432
2024-04-09,66.95,67.26,66.385,67,8459879
2024-04-10,65.12,66.19,65.05,65.88,8566270
2024-04-11,65.845,66.3775,64.68,65.8,8785482
2024-04-12,65.38,65.97,64.16,64.59,9933991
2024-04-15,65.06,65.47,63.25,63.51,11008660
2024-04-16,62.99,64.21,62.92,63.43,9912670
2024-04-17,63.78,63.97,62.58,63.26,8000869
2024-04-18,63.85,64.03,61.95,62.1,9240022
2024-04-19,62,62.46,61.725,62.32,13169273
2024-04-22,63.04,63.635,62.48,63.19,9958232
2024-04-23,63.38,64.7,63.2,64.43,9912958
2024-04-24,64.11,65.09,64.02,64.84,8189112
2024-04-25,63.47,64.4005,62.95,64.1,11711244
2024-04-26,64.13,66.3,63.75,65.96,14200886
2024-04-29,66,67.55,66,66.99,19142390
2024-04-30,70,70.6618,67.22,67.92,43903402
2024-05-01,67,67.8,65.49,66.14,17966526
2024-05-02,66.7,67.44,65.83,66.98,14480564
2024-05-03,67.64,67.89,64.72,65.7,15435157
2024-05-06,66,66.1,64.95,65.61,11257563
2024-05-07,66.08,66.77,65.77,65.92,9232204
2024-05-08,65.46,65.7,63.77,63.81,11183819
2024-05-09,63.87,64.47,63.41,64.45,8368668
2024-05-10,64.59,64.94,62.88,62.93,8745768
2024-05-13,63.435,64.43,63.19,63.95,7311644
2024-05-14,64.39,64.86,64.27,64.58,7556453
2024-05-15,65.11,65.53,63.48,63.9,10972601
2024-05-16,63.59,64.43,63.4201,64.1,8113565
2024-05-17,64.08,64.71,63.845,64.48,8204812
2024-05-20,64.528,65.035,63.77,64.77,6429049
2024-05-21,64.39,64.69,63.7,64.1,6576018
2024-05-22,63.79,63.91,61.845,62.19,14532237
2024-05-23,62.54,62.685,61.2201,61.58,10533414
2024-05-24,61.95,62.06,61.27,61.64,8176776
2024-05-28,62.3,62.87,61.75,62.17,11159562
2024-05-29,61.23,61.59,60.85,61.05,8142812
2024-05-30,62.77,63.34,62.13,62.51,11874710
2024-05-31,62.73,63.56,61.77,62.99,14269038
2024-06-03,63.04,63.52,62.58,63.46,9039816
2024-06-04,63.14,64.13,63.03,63.33,9046058
2024-06-05,63.76,63.81,62.85,63.53,8846106
2024-06-06,64.285,67.82,64.17,67.02,22068792
2024-06-07,66.5,68.2985,66.2,67.3,13194960
2024-06-10,66.97,67.49,65.8,67.09,11978817
2024-06-11,67.13,67.15,64.405,64.77,15108667
2024-06-12,65.46,65.86,62.9,63.43,14137513
2024-06-13,63.12,63.625,61.52,61.54,11985383
2024-06-14,61.29,61.64,60.31,60.635,10366037
2024-06-17,60.37,60.64,59.4805,60.13,13558487
2024-06-18,59.92,60.11,59.03,59.12,13500311
2024-06-20,59.25,60,58.79,59.8,12928493
2024-06-21,59.92,60.76,59.67,60.61,18888289
2024-06-24,60,60.56,59.46,59.49,10464729
2024-06-25,59.57,59.57,58.97,59.33,9359170
2024-06-26,59.74,59.75,58.03,58.26,12599367
2024-06-27,58.48,58.49,57.21,58.37,11648923
2024-06-28,58.32,58.76,57.9,58.03,28102011
2024-07-01,58.36,58.365,57.03,57.81,12237467
2024-07-02,58.78,59.27,58.32,58.97,13231566
2024-07-03,59.03,60.01,58.895,59.64,6908317
2024-07-05,59.38,60.16,58.83,59.76,12243845
2024-07-08,59.72,60.0299,58.63,59.09,10320364
2024-07-09,58.9,59.7,58.42,59,8477370
2024-07-10,59.09,59.31,58.2,58.9,7697110
2024-07-11,59.55,60.93,59.43,59.99,13081969
2024-07-12,60.39,60.52,59.78,60.27,8166185
2024-07-15,60.25,61.02,59.82,60.47,9442989
2024-07-16,60.8,62.02,60.68,61.81,9198845
2024-07-17,61.11,61.84,60.655,61.24,8322110
2024-07-18,60.55,61.33,59.94,60,9102024
2024-07-19,59.81,59.83,58.75,59.33,9352934
2024-07-22,59.9,60.79,59.52,60.77,7489501
2024-07-23,60.72,60.95,59.69,59.71,7572010
2024-07-24,59.55,59.66,57.98,58.07,11801729
2024-07-25,58.16,58.65,57.2,57.22,12515747
2024-07-26,57.6,58.31,56.97,58.29,11323434
2024-07-29,58.5,59.1,58.07,58.94,12346842
2024-07-30,62.775,65.06,62.43,64,44232794
2024-07-31,65,66.99,64.17,65.78,25825919
2024-08-01,65.78,67.3,65.02,65.31,19086364
2024-08-02,64,64.04,60.89,61.98,23117055
2024-08-05,60.7,61.055,58.65,60.46,17445401
2024-08-06,60.6,63.58,60.3,62.75,14358874
2024-08-07,63.345,65.01,62.64,62.74,13464354
2024-08-08,63.55,64.675,63.1,64.28,9761208
2024-08-09,64.8,65.5,64.47,64.72,8605324
2024-08-12,64.95,65.13,63.285,63.46,7519467
2024-08-13,64,65.64,63.72,65.11,8638603
2024-08-14,65.06,66.39,64.66,66.14,8944776
2024-08-15,67.16,68.12,67.05,67.94,12968279
2024-08-16,67.37,68.55,67.37,67.96,9526778
2024-08-19,68.22,69.46,68.17,69.43,9578068
2024-08-20,70,72.56,69.43,71.89,23545969
